lr,ent_coef,mean_reward,std_reward,win_rate,draw_rate,remain_avg,model_path
0.00025,0.01,1.955,0.508,49.0,19.5,4.09,grid_models/ppo_lr0.00025_ent0.01.zip
0.00025,0.005,1.808,0.515,47.5,22.5,4.98,grid_models/ppo_lr0.00025_ent0.005.zip
0.0001,0.005,1.901,0.513,46.5,20.5,4.46,grid_models/ppo_lr0.0001_ent0.005.zip
0.0001,0.001,1.882,0.534,46.5,19.5,4.82,grid_models/ppo_lr0.0001_ent0.001.zip
5e-05,0.01,1.808,0.591,43.0,27.0,4.88,grid_models/ppo_lr5e-05_ent0.01.zip
0.00025,0.001,1.858,0.518,42.0,18.5,5.27,grid_models/ppo_lr0.00025_ent0.001.zip
5e-05,0.001,1.883,0.56,40.0,26.0,4.15,grid_models/ppo_lr5e-05_ent0.001.zip
0.0001,0.01,1.902,0.533,38.0,21.0,4.81,grid_models/ppo_lr0.0001_ent0.01.zip
5e-05,0.005,1.843,0.527,30.0,20.5,5.54,grid_models/ppo_lr5e-05_ent0.005.zip
